BetaP_SE_0, BetaP_SE_1, rho_0,gamma_ei,gamma_ir,S0_0, E0_0, I0_0, R0_0, S_0_0, E_0_0, I_0_0, R_0_0, S_star_0_0, E_star_0_0, I_star_0_0, R_star_0_0, P_SE_0_0, S_0_1, E_0_1, I_0_1, R_0_1, S_star_0_1, E_star_0_1, I_star_0_1, R_star_0_1, P_SE_0_1, S_0_2, E_0_2, I_0_2, R_0_2, S_star_0_2, E_star_0_2, I_star_0_2, R_star_0_2, P_SE_0_2, S_0_3, E_0_3, I_0_3, R_0_3, S_star_0_3, E_star_0_3, I_star_0_3, R_star_0_3, P_SE_0_3, S_0_4, E_0_4, I_0_4, R_0_4, S_star_0_4, E_star_0_4, I_star_0_4, R_star_0_4, P_SE_0_4, S_0_5, E_0_5, I_0_5, R_0_5, S_star_0_5, E_star_0_5, I_star_0_5, R_star_0_5, P_SE_0_5, S_0_6, E_0_6, I_0_6, R_0_6, S_star_0_6, E_star_0_6, I_star_0_6, R_star_0_6, P_SE_0_6, S_0_7, E_0_7, I_0_7, R_0_7, S_star_0_7, E_star_0_7, I_star_0_7, R_star_0_7, P_SE_0_7, S_0_8, E_0_8, I_0_8, R_0_8, S_star_0_8, E_star_0_8, I_star_0_8, R_star_0_8, P_SE_0_8, S_0_9, E_0_9, I_0_9, R_0_9, S_star_0_9, E_star_0_9, I_star_0_9, R_star_0_9, P_SE_0_9, S_0_10, E_0_10, I_0_10, R_0_10, S_star_0_10, E_star_0_10, I_star_0_10, R_star_0_10, P_SE_0_10, S_0_11, E_0_11, I_0_11, R_0_11, S_star_0_11, E_star_0_11, I_star_0_11, R_star_0_11, P_SE_0_11, S_0_12, E_0_12, I_0_12, R_0_12, S_star_0_12, E_star_0_12, I_star_0_12, R_star_0_12, P_SE_0_12, S_0_13, E_0_13, I_0_13, R_0_13, S_star_0_13, E_star_0_13, I_star_0_13, R_star_0_13, P_SE_0_13, S_0_14, E_0_14, I_0_14, R_0_14, S_star_0_14, E_star_0_14, I_star_0_14, R_star_0_14, P_SE_0_14, S_0_15, E_0_15, I_0_15, R_0_15, S_star_0_15, E_star_0_15, I_star_0_15, R_star_0_15, P_SE_0_15, S_0_16, E_0_16, I_0_16, R_0_16, S_star_0_16, E_star_0_16, I_star_0_16, R_star_0_16, P_SE_0_16, S_0_17, E_0_17, I_0_17, R_0_17, S_star_0_17, E_star_0_17, I_star_0_17, R_star_0_17, P_SE_0_17, S_0_18, E_0_18, I_0_18, R_0_18, S_star_0_18, E_star_0_18, I_star_0_18, R_star_0_18, P_SE_0_18, S_0_19, E_0_19, I_0_19, R_0_19, S_star_0_19, E_star_0_19, I_star_0_19, R_star_0_19, P_SE_0_19, S_0_20, E_0_20, I_0_20, R_0_20, S_star_0_20, E_star_0_20, I_star_0_20, R_star_0_20, P_SE_0_20, S_0_21, E_0_21, I_0_21, R_0_21, S_star_0_21, E_star_0_21, I_star_0_21, R_star_0_21, P_SE_0_21, S_0_22, E_0_22, I_0_22, R_0_22, S_star_0_22, E_star_0_22, I_star_0_22, R_star_0_22, P_SE_0_22, S_0_23, E_0_23, I_0_23, R_0_23, S_star_0_23, E_star_0_23, I_star_0_23, R_star_0_23, P_SE_0_23, S_0_24, E_0_24, I_0_24, R_0_24, S_star_0_24, E_star_0_24, I_star_0_24, R_star_0_24, P_SE_0_24, S_0_25, E_0_25, I_0_25, R_0_25, S_star_0_25, E_star_0_25, I_star_0_25, R_star_0_25, P_SE_0_25, S_0_26, E_0_26, I_0_26, R_0_26, S_star_0_26, E_star_0_26, I_star_0_26, R_star_0_26, P_SE_0_26, Iteration,Time
2.20032,-0.0570227,0.300107,0.239434,0.165785,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.974462, 29, 1, 2, 0, 0, 1, 1, 1, 0.980739, 28, 1, 2, 1, 0, 3, 1, 1, 0.676477, 25, 3, 2, 2, 0, 0, 3, 1, 0.815983, 25, 0, 4, 3, 0, 0, 0, 3, 0.676477, 25, 0, 1, 6, 0, 1, 0, 0, 0.710347, 24, 1, 1, 6, 0, 0, 1, 0, 0.787505, 24, 0, 2, 6, 0, 1, 0, 1, 0.815983, 23, 1, 1, 7, 0, 2, 1, 0, 0.444803, 21, 2, 2, 7, 0, 1, 2, 1, 0.688186, 20, 1, 3, 8, 0, 0, 1, 2, 0.985474, 20, 0, 2, 10, 0, 0, 0, 1, 0.815983, 20, 0, 1, 11, 0, 1, 0, 0, 0.259591, 19, 1, 1, 11, 0, 0, 1, 0, 0.710347, 19, 0, 2, 11, 0, 0, 0, 1, 0.446719, 19, 0, 1, 12, 0, 0, 0, 0, 0.259591, 19, 0, 1, 12, 0, 0, 0, 0, 0.253678, 19, 0, 1, 12, 0, 0, 0, 0, 0.39942, 19, 0, 1, 12, 0, 0, 0, 0, 0.226028, 19, 0, 1, 12, 0, 0, 0, 0, 0.604298, 19, 0, 1, 12, 0, 0, 0, 0, 0.531816, 19, 0, 1, 12, 0, 0, 0, 0, 0.398653, 19, 0, 1, 12, 0, 0, 0, 0, 0.0942796, 19, 0, 1, 12, 0, 0, 0, 0, 0.345272, 19, 0, 1, 12, 0, 0, 0, 0, 0.247341, 19, 0, 1, 12, 0, 0, 0, 0, 0.173559, 19, 0, 1, 12, 0, 0, 0, 0, 0.120049, 0,1
-1.6203,-0.0943161,0.975411,0.320656,0.193763,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.077227, 29, 1, 2, 0, 0, 1, 1, 1, 0.0829144, 28, 1, 2, 1, 0, 3, 1, 1, 0.0244266, 25, 3, 2, 2, 0, 0, 3, 1, 0.0364152, 25, 0, 4, 3, 0, 0, 0, 3, 0.0244266, 25, 0, 1, 6, 0, 1, 0, 0, 0.0320805, 24, 1, 1, 6, 0, 0, 1, 0, 0.0399385, 24, 0, 2, 6, 0, 1, 0, 1, 0.0364152, 23, 1, 1, 7, 0, 2, 1, 0, 0.0139891, 21, 2, 2, 7, 0, 1, 2, 1, 0.0269846, 20, 1, 3, 8, 0, 0, 1, 2, 0.0885667, 20, 0, 2, 10, 0, 0, 0, 1, 0.0364152, 20, 0, 1, 11, 0, 1, 0, 0, 0.00746719, 19, 1, 1, 11, 0, 0, 1, 1, 0.0320805, 19, 0, 1, 12, 0, 0, 0, 1, 0.00811845, 19, 0, 0, 13, 0, 0, 0, 0, 0.00131189, 19, 0, 0, 13, 0, 0, 0, 0, 0.00179029, 19, 0, 0, 13, 0, 0, 0, 0, 0.00218434, 19, 0, 0, 13, 0, 0, 0, 0, 0.00193917, 19, 0, 0, 13, 0, 0, 0, 0, 0.00420416, 19, 0, 0, 13, 0, 0, 0, 0, 0.00522602, 19, 0, 0, 13, 0, 0, 0, 0, 0.00109309, 19, 0, 0, 13, 0, 0, 0, 0, 0.00029853, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 1000,1
-1.76316,-0.121457,0.799845,0.379078,0.251832,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0673009, 29, 1, 2, 0, 0, 1, 1, 1, 0.0722862, 28, 1, 2, 1, 0, 3, 1, 1, 0.0212096, 25, 3, 2, 2, 0, 0, 3, 1, 0.0316451, 25, 0, 4, 3, 0, 0, 0, 3, 0.0212096, 25, 0, 1, 6, 0, 1, 0, 0, 0.0266745, 24, 1, 1, 6, 0, 0, 1, 0, 0.0332312, 24, 0, 2, 6, 0, 1, 0, 1, 0.0316451, 23, 1, 1, 7, 0, 2, 1, 0, 0.0118726, 21, 2, 2, 7, 0, 1, 2, 1, 0.0230346, 20, 1, 3, 8, 0, 0, 1, 2, 0.077245, 20, 0, 2, 10, 0, 0, 0, 1, 0.0316451, 20, 0, 1, 11, 0, 1, 0, 0, 0.00627284, 19, 1, 1, 11, 0, 0, 1, 1, 0.0266745, 19, 0, 1, 12, 0, 0, 0, 1, 0.00812573, 19, 0, 0, 13, 0, 0, 0, 0, 0.00233019, 19, 0, 0, 13, 0, 0, 0, 0, 0.00247624, 19, 0, 0, 13, 0, 0, 0, 0, 0.00337179, 19, 0, 0, 13, 0, 0, 0, 0, 0.00209674, 19, 0, 0, 13, 0, 0, 0, 0, 0.00468054, 19, 0, 0, 13, 0, 0, 0, 0, 0.00381792, 19, 0, 0, 13, 0, 0, 0, 0, 0.000464098, 19, 0, 0, 13, 0, 0, 0, 0, 0.000123326, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 2000,1
-2.15379,-0.224984,0.965506,0.411919,0.225698,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0460485, 29, 1, 2, 0, 0, 1, 1, 1, 0.0495016, 28, 1, 2, 1, 0, 3, 1, 1, 0.0144007, 25, 3, 2, 2, 0, 0, 3, 1, 0.0215231, 25, 0, 4, 3, 0, 0, 0, 3, 0.0144007, 25, 0, 1, 6, 0, 1, 0, 0, 0.0188976, 24, 1, 1, 6, 0, 0, 1, 0, 0.0235659, 24, 0, 2, 6, 0, 1, 0, 1, 0.0215231, 23, 1, 1, 7, 0, 2, 1, 0, 0.00821908, 21, 2, 2, 7, 0, 1, 2, 1, 0.0159019, 20, 1, 3, 8, 0, 0, 1, 2, 0.0529422, 20, 0, 2, 10, 0, 0, 0, 1, 0.0215231, 20, 0, 1, 11, 0, 1, 0, 0, 0.00437891, 19, 1, 1, 11, 0, 0, 1, 1, 0.0188976, 19, 0, 1, 12, 0, 0, 0, 1, 0.00589543, 19, 0, 0, 13, 0, 0, 0, 0, 0.00190363, 19, 0, 0, 13, 0, 0, 0, 0, 0.0018242, 19, 0, 0, 13, 0, 0, 0, 0, 0.00202009, 19, 0, 0, 13, 0, 0, 0, 0, 0.00113243, 19, 0, 0, 13, 0, 0, 0, 0, 0.00226133, 19, 0, 0, 13, 0, 0, 0, 0, 0.000733068, 19, 0, 0, 13, 0, 0, 0, 0, 5.30322e-05, 19, 0, 0, 13, 0, 0, 0, 0, 1.27046e-05, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 3000,1
-1.80768,-0.089988,0.898048,0.298443,0.163889,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.064467, 29, 1, 2, 0, 0, 1, 1, 1, 0.0692503, 28, 1, 2, 1, 0, 3, 1, 1, 0.0202955, 25, 3, 2, 2, 0, 0, 3, 1, 0.0302882, 25, 0, 4, 3, 0, 0, 0, 2, 0.0202955, 25, 0, 2, 5, 0, 1, 0, 0, 0.0459328, 24, 1, 2, 5, 0, 0, 1, 0, 0.0570825, 24, 0, 3, 5, 0, 1, 0, 2, 0.0450866, 23, 1, 1, 7, 0, 2, 1, 0, 0.0115008, 21, 2, 2, 7, 0, 1, 2, 1, 0.0222571, 20, 1, 3, 8, 0, 0, 1, 2, 0.0740092, 20, 0, 2, 10, 0, 0, 0, 1, 0.0302882, 20, 0, 1, 11, 0, 1, 0, 1, 0.00610944, 19, 1, 0, 12, 0, 0, 1, 0, 0.00599464, 19, 0, 1, 12, 0, 0, 0, 1, 0.00809943, 19, 0, 0, 13, 0, 0, 0, 0, 0.00250215, 19, 0, 0, 13, 0, 0, 0, 0, 0.00274385, 19, 0, 0, 13, 0, 0, 0, 0, 0.00397822, 19, 0, 0, 13, 0, 0, 0, 0, 0.00255313, 19, 0, 0, 13, 0, 0, 0, 0, 0.00998139, 19, 0, 0, 13, 0, 0, 0, 0, 0.00636165, 19, 0, 0, 13, 0, 0, 0, 0, 0.000906036, 19, 0, 0, 13, 0, 0, 0, 0, 0.000248501, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 4000,2
-1.4939,-0.133623,0.91326,0.250934,0.192916,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0871657, 29, 1, 2, 0, 0, 1, 1, 1, 0.0935472, 28, 1, 2, 1, 0, 3, 1, 1, 0.0276717, 25, 3, 2, 2, 0, 0, 3, 1, 0.0412191, 25, 0, 4, 3, 0, 0, 0, 2, 0.0276717, 25, 0, 2, 5, 0, 1, 0, 0, 0.0624563, 24, 1, 2, 5, 0, 0, 1, 0, 0.0774511, 24, 0, 3, 5, 0, 1, 0, 2, 0.0611871, 23, 1, 1, 7, 0, 2, 1, 0, 0.0157363, 21, 2, 2, 7, 0, 1, 2, 1, 0.0303802, 20, 1, 3, 8, 0, 0, 1, 2, 0.0998842, 20, 0, 2, 10, 0, 0, 0, 1, 0.0412191, 20, 0, 1, 11, 0, 1, 0, 1, 0.00837489, 19, 1, 0, 12, 0, 0, 1, 0, 0.00833333, 19, 0, 1, 12, 0, 0, 0, 1, 0.0111371, 19, 0, 0, 13, 0, 0, 0, 0, 0.0034807, 19, 0, 0, 13, 0, 0, 0, 0, 0.00365408, 19, 0, 0, 13, 0, 0, 0, 0, 0.00485527, 19, 0, 0, 13, 0, 0, 0, 0, 0.00298362, 19, 0, 0, 13, 0, 0, 0, 0, 0.00938286, 19, 0, 0, 13, 0, 0, 0, 0, 0.00481027, 19, 0, 0, 13, 0, 0, 0, 0, 0.000550468, 19, 0, 0, 13, 0, 0, 0, 0, 0.000144514, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 5000,2
-1.88304,-0.0939986,0.816603,0.317535,0.213574,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0599305, 29, 1, 2, 0, 0, 1, 1, 1, 0.064389, 28, 1, 2, 1, 0, 3, 1, 1, 0.0188362, 25, 3, 2, 2, 0, 0, 3, 1, 0.0281208, 25, 0, 4, 3, 0, 0, 0, 2, 0.0188362, 25, 0, 2, 5, 0, 1, 0, 0, 0.0421865, 24, 1, 2, 5, 0, 0, 1, 0, 0.0524521, 24, 0, 3, 5, 0, 1, 0, 2, 0.0418833, 23, 1, 1, 7, 0, 2, 1, 0, 0.0105609, 21, 2, 2, 7, 0, 1, 2, 1, 0.0204931, 20, 1, 3, 8, 0, 0, 1, 2, 0.0688263, 20, 0, 2, 10, 0, 0, 0, 1, 0.0281208, 20, 0, 1, 11, 0, 1, 0, 1, 0.0055834, 19, 1, 0, 12, 0, 0, 1, 0, 0.00505767, 19, 0, 1, 12, 0, 0, 0, 1, 0.00726271, 19, 0, 0, 13, 0, 0, 0, 0, 0.00211048, 19, 0, 0, 13, 0, 0, 0, 0, 0.00230514, 19, 0, 0, 13, 0, 0, 0, 0, 0.00331582, 19, 0, 0, 13, 0, 0, 0, 0, 0.00211925, 19, 0, 0, 13, 0, 0, 0, 0, 0.0081265, 19, 0, 0, 13, 0, 0, 0, 0, 0.00507514, 19, 0, 0, 13, 0, 0, 0, 0, 0.000708071, 19, 0, 0, 13, 0, 0, 0, 0, 0.000193414, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 6000,3
-1.69511,-0.15605,0.87889,0.291445,0.171312,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.071866, 29, 1, 2, 0, 0, 1, 1, 1, 0.0771754, 28, 1, 2, 1, 0, 3, 1, 1, 0.0226862, 25, 3, 2, 2, 0, 0, 3, 1, 0.0338355, 25, 0, 4, 3, 0, 0, 0, 2, 0.0226862, 25, 0, 2, 5, 0, 1, 0, 0, 0.0511271, 24, 1, 2, 5, 0, 0, 1, 0, 0.0634951, 24, 0, 3, 5, 0, 1, 0, 2, 0.0503215, 23, 1, 1, 7, 0, 2, 1, 0, 0.0128313, 21, 2, 2, 7, 0, 1, 2, 1, 0.0248292, 20, 1, 3, 8, 0, 0, 1, 2, 0.0824543, 20, 0, 2, 10, 0, 0, 0, 1, 0.0338355, 20, 0, 1, 11, 0, 1, 0, 1, 0.00681115, 19, 1, 0, 12, 0, 0, 1, 0, 0.00656393, 19, 0, 1, 12, 0, 0, 0, 1, 0.008989, 19, 0, 0, 13, 0, 0, 0, 0, 0.00274022, 19, 0, 0, 13, 0, 0, 0, 0, 0.00281306, 19, 0, 0, 13, 0, 0, 0, 0, 0.00357463, 19, 0, 0, 13, 0, 0, 0, 0, 0.00214745, 19, 0, 0, 13, 0, 0, 0, 0, 0.00604453, 19, 0, 0, 13, 0, 0, 0, 0, 0.00276829, 19, 0, 0, 13, 0, 0, 0, 0, 0.000282936, 19, 0, 0, 13, 0, 0, 0, 0, 7.26245e-05, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 7000,3
-2.04258,-0.156042,0.992965,0.396535,0.242787,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0513239, 29, 1, 2, 0, 0, 1, 1, 1, 0.0551611, 28, 1, 2, 1, 0, 3, 1, 1, 0.016081, 25, 3, 2, 2, 0, 0, 3, 1, 0.0240242, 25, 0, 4, 3, 0, 0, 0, 2, 0.016081, 25, 0, 2, 5, 0, 1, 0, 0, 0.0369786, 24, 1, 2, 5, 0, 0, 1, 0, 0.0460076, 24, 0, 3, 5, 0, 1, 0, 2, 0.035819, 23, 1, 1, 7, 0, 2, 1, 0, 0.00921296, 21, 2, 2, 7, 0, 1, 2, 1, 0.0178034, 20, 1, 3, 8, 0, 0, 1, 2, 0.0589827, 20, 0, 2, 10, 0, 0, 0, 1, 0.0240242, 20, 0, 1, 11, 0, 1, 0, 1, 0.00491685, 19, 1, 0, 12, 0, 0, 1, 0, 0.00524257, 19, 0, 1, 12, 0, 0, 0, 1, 0.00665883, 19, 0, 0, 13, 0, 0, 0, 0, 0.00218775, 19, 0, 0, 13, 0, 0, 0, 0, 0.00224594, 19, 0, 0, 13, 0, 0, 0, 0, 0.00285424, 19, 0, 0, 13, 0, 0, 0, 0, 0.00171445, 19, 0, 0, 13, 0, 0, 0, 0, 0.00482786, 19, 0, 0, 13, 0, 0, 0, 0, 0.00221044, 19, 0, 0, 13, 0, 0, 0, 0, 0.000225873, 19, 0, 0, 13, 0, 0, 0, 0, 5.79767e-05, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 8000,3
-1.68039,-0.170104,0.542805,0.397049,0.193509,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0728917, 29, 1, 2, 0, 0, 1, 1, 1, 0.0782736, 28, 1, 2, 1, 0, 3, 1, 1, 0.0230186, 25, 3, 2, 2, 0, 0, 3, 1, 0.0343284, 25, 0, 4, 3, 0, 0, 0, 2, 0.0230186, 25, 0, 2, 5, 0, 1, 0, 0, 0.0494389, 24, 1, 2, 5, 0, 0, 1, 0, 0.061412, 24, 0, 3, 5, 0, 1, 0, 2, 0.0510482, 23, 1, 1, 7, 0, 2, 1, 0, 0.0124684, 21, 2, 2, 7, 0, 1, 2, 1, 0.0243619, 20, 1, 3, 8, 0, 0, 1, 2, 0.0836242, 20, 0, 2, 10, 0, 0, 0, 1, 0.0343284, 20, 0, 1, 11, 0, 1, 0, 1, 0.0064887, 19, 1, 0, 12, 0, 0, 1, 0, 0.00411905, 19, 0, 1, 12, 0, 0, 0, 1, 0.00785469, 19, 0, 0, 13, 0, 0, 0, 0, 0.00171834, 19, 0, 0, 13, 0, 0, 0, 0, 0.00173944, 19, 0, 0, 13, 0, 0, 0, 0, 0.00214947, 19, 0, 0, 13, 0, 0, 0, 0, 0.00127292, 19, 0, 0, 13, 0, 0, 0, 0, 0.00334287, 19, 0, 0, 13, 0, 0, 0, 0, 0.00142611, 19, 0, 0, 13, 0, 0, 0, 0, 0.000135785, 19, 0, 0, 13, 0, 0, 0, 0, 3.43653e-05, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 9000,4
