BetaP_SE_0, BetaP_SE_1, rho_0,gamma_ei,gamma_ir,Iteration,Time
2.87058,0,0.218235,0.381155,0.141433,0,0
-1.12127,-0.110513,0.596867,0.343673,0.219428,1000,0
-1.60638,-0.0922262,0.647375,0.436103,0.19213,2000,1
-1.97647,-0.0983171,0.95868,0.414191,0.239159,3000,1
-2.1436,-0.10552,0.575947,0.349248,0.195008,4000,1
-1.97337,-0.141246,0.661858,0.345837,0.191353,5000,2
-2.10036,-0.0409903,0.949987,0.477675,0.157563,6000,2
-2.17403,-0.141731,0.871679,0.389945,0.142258,7000,3
-2.01903,-0.191793,0.709927,0.325145,0.150656,8000,3
-1.78906,-0.151763,0.418524,0.300986,0.140231,9000,3
-2.30771,-0.0674597,0.836271,0.374003,0.167754,10000,4
-2.03422,-0.231474,0.733884,0.352141,0.188947,11000,4
-1.53419,-0.120613,0.321042,0.330838,0.105868,12000,4
-2.10555,-0.0897513,0.810805,0.304343,0.12777,13000,5
-2.09276,-0.119969,0.539176,0.256177,0.125748,14000,5
-2.31778,-0.188352,0.515139,0.359862,0.16587,15000,5
-1.86697,-0.114908,0.520245,0.352784,0.129447,16000,6
-1.96235,-0.159557,0.338863,0.329154,0.164279,17000,6
-2.15858,-0.142073,0.461013,0.46594,0.135615,18000,6
-2.45034,-0.0616183,0.402624,0.421099,0.102884,19000,7
-2.18378,-0.114971,0.692828,0.290979,0.132294,20000,7
-1.97027,-0.121882,0.40037,0.285456,0.140529,21000,7
-2.17472,-0.160984,0.713375,0.242716,0.127419,22000,8
-1.70316,-0.132548,0.381674,0.370755,0.0952431,23000,8
-2.35857,-0.185921,0.547998,0.315135,0.11611,24000,9
-2.1698,-0.108742,0.232938,0.278119,0.0785888,25000,9
-2.12734,-0.0933643,0.89155,0.241997,0.135423,26000,9
-1.99792,-0.173667,0.602885,0.34027,0.132124,27000,9
-2.14059,-0.115528,0.321356,0.382221,0.135966,28000,10
-1.99884,-0.100394,0.432102,0.307686,0.106055,29000,10
-2.5347,-0.118426,0.570418,0.327224,0.127736,30000,10
-2.39095,-0.117524,0.87676,0.319572,0.115912,31000,11
-2.21909,-0.158234,0.574978,0.275474,0.135595,32000,11
-2.58102,-0.106901,0.821488,0.269837,0.103944,33000,11
-2.23984,-0.240659,0.668133,0.26777,0.101343,34000,12
